OrderDate,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,Region,CustomerType
2024-12-30,Wound Care,Antiseptic Spray,14,52.84,739.76,Sjælland,Care Home
2024-09-30,Infusion Therapy,,6,164.46,986.76,Sjælland,Private
2024-09-29,Wound Care,Sterile Bandage,7,35.87,251.09,Midtjylland,Hospital
2024-03-07,Diabetes,Blood Glucose Meter,9,154.55,1390.95,Midtjylland,Care Home
2024-08-23,Incontinence,Absorbent Pads,19,119.84,2276.96,Sjælland,Private
2024-11-10,Wound Care,Sterile Bandage,-13,105.8,1375.4,Syddanmark,Clinic
2024-04-21,Wound Care,Sterile Bandage,4,256.74,1026.96,Hovedstaden,Care Home
2024-08-30,Nutrition,Enteral Nutrition Formula,8,212.12,1696.96,Nordjylland,Care Home
2024-11-30,Nutrition,Nutritional Supplement,6,292.77,1756.62,Syddanmark,Clinic
2024-07-21,Diabetes,Blood Glucose Meter,8,148.22,1185.76,Midtjylland,Care Home
2024-07-30,Wound Care,Sterile Bandage,1,223.51,223.51,Syddanmark,Private
2024-05-18,Stoma Care,Stoma Bag,4,102.99,411.96,Syddanmark,Private
2024-05-17,Nutrition,,12,68.5,822.0,Nordjylland,Clinic
2024-09-21,Infusion Therapy,IV Tubing Set,11,147.22,1619.42,Syddanmark,Clinic
2024-08-23,Nutrition,Enteral Nutrition Formula,18,46.05,828.9,Midtjylland,Care Home
2024-10-22,Nutrition,Enteral Nutrition Formula,8,250.1,2000.8,Syddanmark,Private
2024-12-04,Incontinence,Absorbent Pads,14,161.69,2263.66,Nordjylland,Clinic
2024-10-21,Respiratory Care,Oxygen Concentrator,8,119.31,954.48,Midtjylland,Clinic
2024-06-01,Incontinence,Adult Diapers,17,270.88,4604.96,Nordjylland,Clinic
2024-07-16,Stoma Care,Stoma Bag,6,106.52,639.12,Midtjylland,Care Home
2024-10-15,Wound Care,Antiseptic Spray,7,176.21,1233.47,Midtjylland,Hospital
2024-10-15,Diabetes,Insulin Pen,4,175.27,701.08,Nordjylland,Clinic
2024-06-07,Respiratory Care,Oxygen Concentrator,15,255.47,3832.05,Midtjylland,Care Home
2024-02-16,Infusion Therapy,Infusion Pump,4,219.45,877.8,Nordjylland,Care Home
2024-10-25,Infusion Therapy,IV Tubing Set,5,249.77,1248.85,Hovedstaden,Clinic
2024-12-11,Nutrition,Enteral Nutrition Formula,14,188.34,2636.76,Sjælland,Private
2024-04-13,Incontinence,Absorbent Pads,11,280.31,3083.41,Syddanmark,Clinic
2024-04-15,Stoma Care,Stoma Bag,17,177.12,3011.04,Hovedstaden,Hospital
2024-08-01,Incontinence,Absorbent Pads,11,140.74,1548.14,Midtjylland,Private
2024-11-08,Diabetes,Test Strips,1,262.27,262.27,Syddanmark,Clinic
2024-05-16,Stoma Care,Adhesive Ring,10,242.83,-2428.3,Nordjylland,Care Home
2024-03-15,Stoma Care,Stoma Bag,6,110.44,662.64,Sjælland,Clinic
2024-12-29,Wound Care,Sterile Bandage,19,81.99,1557.81,Sjælland,Hospital
2024-10-11,Infusion Therapy,IV Tubing Set,11,193.36,-2126.96,Hovedstaden,Care Home
2024-06-25,Wound Care,Antiseptic Spray,8,155.64,1245.12,Midtjylland,Care Home
2024-07-29,Respiratory Care,Oxygen Concentrator,17,20.6,350.2,Nordjylland,Clinic
2024-06-23,Nutrition,Nutritional Supplement,18,162.07,2917.26,Sjælland,Private
2024-09-20,Nutrition,Nutritional Supplement,7,228.44,1599.08,Sjælland,Clinic
2024-02-24,Incontinence,Absorbent Pads,18,261.43,4705.74,Sjælland,Clinic
2024-09-11,Nutrition,Nutritional Supplement,8,40.19,321.52,Hovedstaden,Clinic
2024-10-17,Incontinence,Adult Diapers,14,184.93,2589.02,Nordjylland,Care Home
2024-08-10,Diabetes,Blood Glucose Meter,16,35.21,563.36,Syddanmark,Hospital
2024-02-05,Infusion Therapy,Infusion Pump,18,268.87,4839.66,Nordjylland,Hospital
2024-04-28,Infusion Therapy,IV Tubing Set,12,250.89,3010.68,Nordjylland,Clinic
2024-12-20,Infusion Therapy,Infusion Pump,12,50.63,607.56,Midtjylland,Private
2024-07-27,Nutrition,Enteral Nutrition Formula,18,16.52,297.36,Hovedstaden,Hospital
2024-09-02,Stoma Care,Adhesive Ring,11,132.29,1455.19,Midtjylland,Hospital
2024-11-21,Respiratory Care,Oxygen Concentrator,18,163.6,2944.8,Hovedstaden,Care Home
2024-03-16,Diabetes,Insulin Pen,10,50.61,506.1,Syddanmark,Care Home
2024-08-24,Respiratory Care,Oxygen Concentrator,7,176.26,1233.82,Hovedstaden,Hospital
2024-05-09,Wound Care,Sterile Bandage,11,63.47,698.17,Hovedstaden,Care Home
2024-01-11,Nutrition,Nutritional Supplement,4,218.52,874.08,Sjælland,Clinic
2024-09-02,Stoma Care,Adhesive Ring,5,150.29,751.45,Hovedstaden,Clinic
2024-12-02,Infusion Therapy,Infusion Pump,13,54.85,713.05,Midtjylland,Clinic
2024-05-08,Nutrition,,11,183.5,2018.5,Midtjylland,Care Home
2024-04-11,Wound Care,Antiseptic Spray,2,39.9,79.8,Sjælland,Hospital
2024-02-26,Nutrition,Nutritional Supplement,17,63.69,1082.73,Nordjylland,Private
2024-08-02,Infusion Therapy,Infusion Pump,5,210.76,1053.8,Syddanmark,Private
2024-12-30,Wound Care,Sterile Bandage,15,22.81,342.15,Sjælland,Clinic
2024-09-26,Respiratory Care,CPAP Machine,15,212.25,3183.75,Sjælland,Care Home
2024-03-22,Stoma Care,Stoma Bag,7,141.99,993.93,Sjælland,Care Home
2024-04-17,Respiratory Care,CPAP Machine,13,32.32,420.16,Syddanmark,Private
2024-01-15,Wound Care,Sterile Bandage,17,166.14,2824.38,Sjælland,Private
2024-04-17,Respiratory Care,CPAP Machine,-2,17.08,34.16,Midtjylland,Private
2024-04-05,Nutrition,Enteral Nutrition Formula,3,30.31,-90.93,Syddanmark,Clinic
2024-08-23,Respiratory Care,Oxygen Concentrator,16,263.37,4213.92,Syddanmark,Care Home
2024-03-05,Respiratory Care,Oxygen Concentrator,17,42.04,714.68,Syddanmark,Private
2024-06-01,Diabetes,Insulin Pen,16,15.18,242.88,Hovedstaden,Clinic
2024-05-19,Nutrition,Nutritional Supplement,5,238.04,1190.2,Syddanmark,Hospital
2024-01-11,Diabetes,Test Strips,13,296.86,3859.18,Hovedstaden,Care Home
2024-11-05,Respiratory Care,CPAP Machine,19,158.68,3014.92,Nordjylland,Clinic
2024-09-15,Infusion Therapy,Infusion Pump,6,242.22,1453.32,Hovedstaden,Care Home
2024-08-28,Stoma Care,Stoma Bag,10,159.42,1594.2,Midtjylland,Hospital
2024-09-25,Diabetes,Insulin Pen,15,20.11,301.65,Nordjylland,Hospital
2024-05-02,Nutrition,Enteral Nutrition Formula,9,22.87,205.83,Sjælland,Clinic
2024-08-13,Respiratory Care,CPAP Machine,15,11.47,172.05,Hovedstaden,Hospital
2024-06-24,Respiratory Care,CPAP Machine,13,269.4,3502.2,Midtjylland,Care Home
2024-04-24,Incontinence,Adult Diapers,3,110.86,332.58,Syddanmark,Clinic
2024-05-26,Diabetes,Insulin Pen,16,200.95,3215.2,Midtjylland,Clinic
2024-12-10,Nutrition,Enteral Nutrition Formula,10,40.69,406.9,Midtjylland,Clinic
2024-09-05,Stoma Care,Adhesive Ring,19,264.93,-5033.67,Hovedstaden,Hospital
2024-03-22,Infusion Therapy,Infusion Pump,4,171.29,685.16,Midtjylland,Hospital
2024-06-03,Respiratory Care,Oxygen Concentrator,17,,2929.95,Nordjylland,Care Home
2024-11-21,Nutrition,Nutritional Supplement,19,230.7,4383.3,Midtjylland,Private
2024-08-09,Diabetes,Test Strips,5,39.73,198.65,Sjælland,Private
2024-01-17,Wound Care,Antiseptic Spray,12,29.53,354.36,Nordjylland,Private
2024-11-01,Incontinence,Absorbent Pads,14,292.31,4092.34,Sjælland,Private
2024-01-07,Stoma Care,,11,248.24,2730.64,Syddanmark,Care Home
2024-08-13,Infusion Therapy,IV Tubing Set,4,133.59,534.36,Hovedstaden,Care Home
2024-10-14,Respiratory Care,Oxygen Concentrator,2,234.12,468.24,Sjælland,Private
2024-04-01,Diabetes,Blood Glucose Meter,15,131.72,1975.8,Syddanmark,Clinic
2024-09-13,Infusion Therapy,IV Tubing Set,6,76.69,460.14,Syddanmark,Care Home
2024-09-27,Wound Care,Sterile Bandage,12,147.23,1766.76,Midtjylland,Private
2024-03-19,Diabetes,Insulin Pen,14,163.8,-2293.2,Nordjylland,Care Home
2024-02-15,Incontinence,Adult Diapers,15,149.64,2244.6,Hovedstaden,Care Home
2024-06-14,Wound Care,Sterile Bandage,16,152.56,2440.96,Nordjylland,Private
2024-03-04,Incontinence,Adult Diapers,13,53.38,693.94,Midtjylland,Clinic
2024-06-14,Wound Care,Sterile Bandage,11,211.54,2326.94,Nordjylland,Clinic
2024-03-28,Infusion Therapy,Infusion Pump,9,80.19,721.71,Nordjylland,Care Home
2024-05-27,Respiratory Care,Oxygen Concentrator,1,172.3,-172.3,Midtjylland,Private
2024-03-17,Respiratory Care,CPAP Machine,7,48.49,339.43,Syddanmark,Hospital
2024-10-31,Stoma Care,Stoma Bag,8,194.56,1556.48,Nordjylland,Private
2024-02-10,Nutrition,Enteral Nutrition Formula,18,281.21,5061.78,Midtjylland,Hospital
2024-01-07,Respiratory Care,CPAP Machine,11,269.5,2964.5,Sjælland,Care Home
2024-10-23,Respiratory Care,Oxygen Concentrator,10,137.2,1372.0,Syddanmark,Hospital
2024-08-30,Infusion Therapy,IV Tubing Set,19,293.0,5567.0,Nordjylland,Care Home
2024-11-02,Nutrition,Nutritional Supplement,12,171.06,2052.72,Hovedstaden,Hospital
2024-05-10,Respiratory Care,Oxygen Concentrator,10,126.95,1269.5,Nordjylland,Care Home
2024-10-31,Stoma Care,Stoma Bag,5,110.32,551.6,Midtjylland,Hospital
2024-04-05,Diabetes,Test Strips,9,137.2,1234.8,Midtjylland,Private
2024-09-18,Infusion Therapy,IV Tubing Set,7,90.28,631.96,Nordjylland,Care Home
2024-02-09,Incontinence,Absorbent Pads,15,78.38,1175.7,Hovedstaden,Care Home
2024-01-14,Nutrition,Enteral Nutrition Formula,14,158.66,2221.24,Sjælland,Private
2024-04-20,Nutrition,Enteral Nutrition Formula,14,159.3,2230.2,Syddanmark,Care Home
2024-01-28,Diabetes,Insulin Pen,2,258.82,-517.64,Midtjylland,Hospital
2024-10-29,Infusion Therapy,Infusion Pump,11,266.28,2929.08,Sjælland,Hospital
2024-12-26,Diabetes,Insulin Pen,1,140.34,140.34,Syddanmark,Care Home
2024-10-10,Respiratory Care,Oxygen Concentrator,11,223.56,2459.16,Sjælland,Hospital
2024-06-04,Nutrition,Nutritional Supplement,15,261.8,3927.0,Nordjylland,Private
2024-10-19,Incontinence,Adult Diapers,1,45.41,45.41,Syddanmark,Care Home
2024-07-24,Incontinence,Absorbent Pads,12,,636.24,Sjælland,Care Home
2024-11-01,Incontinence,Adult Diapers,7,141.87,993.09,Syddanmark,Clinic
2024-05-05,Incontinence,Absorbent Pads,13,51.63,671.19,Nordjylland,Private
2024-09-20,Nutrition,Nutritional Supplement,6,261.76,1570.56,Hovedstaden,Private
2024-04-23,Wound Care,Sterile Bandage,18,189.18,3405.24,Nordjylland,Hospital
2024-10-28,Wound Care,Sterile Bandage,4,206.19,824.76,Nordjylland,Clinic
2024-03-30,Stoma Care,Stoma Bag,2,299.83,599.66,Nordjylland,Care Home
2024-03-13,Respiratory Care,Oxygen Concentrator,13,93.72,1218.36,Hovedstaden,Clinic
2024-01-19,Incontinence,Adult Diapers,6,271.4,1628.4,Sjælland,Care Home
2024-11-05,Nutrition,Nutritional Supplement,7,11.67,81.69,Midtjylland,Hospital
2024-11-11,Nutrition,Enteral Nutrition Formula,1,78.89,78.89,Hovedstaden,Care Home
2024-04-19,Wound Care,Antiseptic Spray,14,189.65,2655.1,Syddanmark,Care Home
2024-04-26,Respiratory Care,CPAP Machine,12,53.21,638.52,Sjælland,Clinic
2024-12-08,Nutrition,Enteral Nutrition Formula,6,226.59,1359.54,Syddanmark,Care Home
2024-12-01,Nutrition,Nutritional Supplement,15,30.67,460.05,Nordjylland,Hospital
2024-05-20,Incontinence,Absorbent Pads,19,39.41,748.79,Midtjylland,Clinic
2024-08-26,Infusion Therapy,Infusion Pump,3,178.47,535.41,Nordjylland,Private
2024-03-30,Respiratory Care,Oxygen Concentrator,11,45.73,503.03,Hovedstaden,Clinic
2024-08-28,Respiratory Care,CPAP Machine,10,63.72,637.2,Syddanmark,Care Home
2024-06-20,Respiratory Care,Oxygen Concentrator,13,193.61,2516.93,Syddanmark,Hospital
2024-01-26,Nutrition,Enteral Nutrition Formula,9,197.52,1777.68,Nordjylland,Private
2024-02-18,Infusion Therapy,IV Tubing Set,5,97.6,488.0,Midtjylland,Private
2024-06-12,Respiratory Care,CPAP Machine,10,141.01,1410.1,Midtjylland,Clinic
2024-04-28,Infusion Therapy,IV Tubing Set,17,61.75,1049.75,Hovedstaden,Private
2024-03-18,Incontinence,Absorbent Pads,13,182.4,2371.2,Midtjylland,Clinic
2024-11-18,Nutrition,Nutritional Supplement,10,134.18,1341.8,Syddanmark,Private
2024-01-19,Wound Care,Antiseptic Spray,4,220.06,880.24,Syddanmark,Private
2024-12-18,Incontinence,Absorbent Pads,4,65.64,262.56,Nordjylland,Care Home
2024-02-18,Infusion Therapy,IV Tubing Set,2,204.18,408.36,Midtjylland,Hospital
2024-03-07,Infusion Therapy,IV Tubing Set,12,104.06,1248.72,Midtjylland,Care Home
2024-07-27,Nutrition,Nutritional Supplement,3,221.89,665.67,Sjælland,Care Home
2024-11-28,Respiratory Care,Oxygen Concentrator,15,68.27,1024.05,Midtjylland,Clinic
2024-05-24,Incontinence,Adult Diapers,16,202.82,3245.12,Midtjylland,Private
2024-04-13,Stoma Care,Adhesive Ring,5,223.78,1118.9,Nordjylland,Hospital
2024-08-18,Wound Care,Sterile Bandage,1,186.46,186.46,Syddanmark,Clinic
2024-05-30,Incontinence,Adult Diapers,18,109.09,1963.62,Hovedstaden,Private
2024-11-18,Stoma Care,Adhesive Ring,4,263.27,1053.08,Hovedstaden,Hospital
2024-08-31,Infusion Therapy,IV Tubing Set,10,155.33,1553.3,Midtjylland,Hospital
2024-06-06,Respiratory Care,CPAP Machine,14,243.72,3412.08,Hovedstaden,Clinic
2024-03-06,Diabetes,Insulin Pen,2,74.85,149.7,Syddanmark,Care Home
2024-09-09,Nutrition,Enteral Nutrition Formula,1,277.6,277.6,Hovedstaden,Private
2024-01-25,Diabetes,Insulin Pen,-13,116.58,1515.54,Nordjylland,Private
2024-01-12,Respiratory Care,,13,281.57,3660.41,Sjælland,Private
2024-02-12,Wound Care,Antiseptic Spray,2,198.56,397.12,Syddanmark,Hospital
2024-05-09,Infusion Therapy,Infusion Pump,11,228.73,2516.03,Syddanmark,Hospital
2024-05-28,Infusion Therapy,IV Tubing Set,9,236.98,2132.82,Syddanmark,Private
2024-09-16,Incontinence,Absorbent Pads,7,76.38,534.66,Sjælland,Private
2024-08-18,Stoma Care,Adhesive Ring,18,47.91,862.38,Syddanmark,Hospital
2024-04-01,Wound Care,Sterile Bandage,14,61.3,858.2,Midtjylland,Clinic
2024-09-02,Incontinence,Absorbent Pads,6,85.35,512.1,Sjælland,Private
2024-07-31,Nutrition,Enteral Nutrition Formula,18,192.5,3465.0,Nordjylland,Hospital
2024-07-06,Wound Care,Sterile Bandage,11,141.77,1559.47,Midtjylland,Hospital
2024-02-21,Nutrition,Enteral Nutrition Formula,16,223.83,3581.28,Nordjylland,Private
2024-01-21,Incontinence,Absorbent Pads,10,268.7,2687.0,Midtjylland,Care Home
2024-02-29,Wound Care,Sterile Bandage,16,83.85,1341.6,Nordjylland,Hospital
2024-07-21,Incontinence,Absorbent Pads,2,122.04,244.08,Midtjylland,Clinic
2024-06-21,Respiratory Care,Oxygen Concentrator,19,40.65,772.35,Hovedstaden,Hospital
2024-03-27,Wound Care,Sterile Bandage,11,201.12,2212.32,Sjælland,Clinic
2024-08-19,Wound Care,Sterile Bandage,14,297.56,4165.84,Sjælland,Care Home
2024-09-17,Incontinence,Adult Diapers,5,,1007.45,Midtjylland,Clinic
2024-08-07,Stoma Care,Adhesive Ring,17,95.68,1626.56,Sjælland,Private
2024-02-18,Wound Care,Sterile Bandage,4,188.35,753.4,Hovedstaden,Clinic
2024-09-22,Stoma Care,Stoma Bag,4,94.92,379.68,Nordjylland,Hospital
2024-10-14,Respiratory Care,Oxygen Concentrator,2,47.15,94.3,Nordjylland,Care Home
2024-11-10,Stoma Care,Stoma Bag,14,137.43,1924.02,Midtjylland,Private
2024-10-14,Incontinence,Adult Diapers,19,267.21,5076.99,Hovedstaden,Care Home
2024-09-24,Incontinence,Adult Diapers,9,167.76,1509.84,Sjælland,Care Home
2024-08-25,Incontinence,Absorbent Pads,7,62.37,436.59,Nordjylland,Care Home
2024-12-13,Nutrition,Enteral Nutrition Formula,13,57.8,751.4,Syddanmark,Care Home
2024-03-28,Wound Care,Sterile Bandage,12,222.51,2670.12,Syddanmark,Clinic
2024-01-19,Wound Care,Antiseptic Spray,7,177.38,1241.66,Hovedstaden,Care Home
2024-03-12,Infusion Therapy,IV Tubing Set,1,225.1,225.1,Syddanmark,Hospital
2024-12-19,Incontinence,Adult Diapers,11,100.17,1101.87,Midtjylland,Hospital
2024-04-21,Diabetes,Insulin Pen,13,166.22,2160.86,Syddanmark,Hospital
2024-01-14,Diabetes,Test Strips,2,230.02,460.04,Hovedstaden,Care Home
2024-07-29,Nutrition,Nutritional Supplement,5,46.17,230.85,Syddanmark,Private
2024-06-02,Wound Care,Sterile Bandage,5,,-1011.4,Syddanmark,Hospital
2024-07-06,Stoma Care,Adhesive Ring,13,36.97,480.61,Midtjylland,Private
2024-12-01,Wound Care,,4,25.31,101.24,Nordjylland,Private
2024-10-31,Incontinence,Absorbent Pads,14,53.21,744.94,Midtjylland,Hospital
2024-12-21,Incontinence,Adult Diapers,19,137.66,2615.54,Sjælland,Hospital
2024-04-25,Wound Care,Sterile Bandage,17,183.49,3119.33,Syddanmark,Clinic
2024-07-16,Wound Care,Antiseptic Spray,4,153.89,615.56,Nordjylland,Private
2024-12-24,Nutrition,Nutritional Supplement,9,285.59,2570.31,Midtjylland,Clinic
2024-04-16,Infusion Therapy,Infusion Pump,17,179.88,3057.96,Syddanmark,Clinic
2024-02-04,Respiratory Care,CPAP Machine,14,75.41,1055.74,Midtjylland,Clinic
2024-07-10,Stoma Care,Stoma Bag,5,214.75,1073.75,Sjælland,Care Home
2024-10-06,Incontinence,Adult Diapers,4,232.0,928.0,Nordjylland,Clinic
2024-05-31,Diabetes,Insulin Pen,4,13.89,55.56,Sjælland,Clinic
2024-08-07,Wound Care,Sterile Bandage,14,82.37,1153.18,Nordjylland,Private
2024-02-13,Stoma Care,Stoma Bag,9,151.4,1362.6,Nordjylland,Private
2024-07-14,Diabetes,Blood Glucose Meter,18,,2325.96,Midtjylland,Private
2024-05-27,Stoma Care,Adhesive Ring,15,265.82,3987.3,Midtjylland,Clinic
2024-06-13,Incontinence,Adult Diapers,18,52.04,936.72,Hovedstaden,Hospital
